Comment,Designator,Footprint,LCSC
MHCI06030-2R2M-R8,L1,L_Bourns_SRP7028A_7.3x6.6mm,C108293
INA180A1,U1,SOT-23-5,C122228
LM2937xMP,U2,SOT-223-3_TabPin2,C140265
4.7k,"R4,R5",R_0805_2012Metric,C17673
188k,"R2,R3",R_0805_2012Metric,C218377
50m,R1,R_2512_6332Metric,C2903475
IPD25N06S4L30ATMA2,Q1,TO-252-2,C3279077
200u,C2,CP_Radial_D12.5mm_P5.00mm,C443147
100n,"C1,C3,C4",C_0805_2012Metric,C49678
VS-48CTQ060S,D1,TO-263-2,C506525
programming,J2,PinHeader_1x04_P2.54mm_Vertical,C6332197
STM32G030J6Mx,U3,SOIC-8_3.9x4.9mm_P1.27mm,C724041
10u,C5,C_0805_2012Metric,C84416
XT60,U4,CONN-TH_XT60,C98733
XT60-F,U5,CONN-TH_XT60PB-F,C98734
