Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,84.94,-72.11,-90.0,top
C2,200u,CP_Radial_D12.5mm_P5.00mm,93.5,-57.2,180.0,top
C3,100n,C_0805_2012Metric,74.34,-62.71,-90.0,top
C4,0.1u,C_0805_2012Metric,82.0,-56.4,90.0,top
C5,10u,C_0805_2012Metric,82.0,-52.8,-90.0,top
D1,VS-48CTQ060S,TO-263-2,91.825,-81.7,0.0,top
J2,programming,PinHeader_1x04_P2.54mm_Vertical,76.33,-86.1,90.0,top
L1,MHCI06030-2R2M-R8,L_Bourns_SRP7028A_7.3x6.6mm,76.1,-80.1,0.0,top
Q1,IPD25N06S4L30ATMA2,TO-252-2,93.225,-71.025,0.0,top
R1,50m,R_2512_6332Metric,73.5,-70.2,-90.0,top
R2,188k,R_0805_2012Metric,77.34,-68.21,0.0,top
R3,188k,R_0805_2012Metric,77.34,-70.71,0.0,top
R4,4.7k,R_0805_2012Metric,81.84,-66.71,0.0,top
R5,4.7k,R_0805_2012Metric,81.59,-73.21,0.0,top
U1,INA180A1,SOT-23-5,81.59,-69.96,-90.0,top
U2,LM2937xMP,SOT-223-3_TabPin2,76.25,-54.1,180.0,top
U3,STM32G030J6Mx,SOIC-8_3.9x4.9mm_P1.27mm,79.34,-62.21,0.0,top
U4,XT60,CONN-TH_XT60,66.8,-67.7,-90.0,top
U5,XT60-F,CONN-TH_XT60PB-F,103.5,-67.2,-90.0,top
